#,Name,Nationality,Calling Code,Mail Lead Time,GMT Offset
187,Sao Tome And Principe,,239,5,-1
188,Saudi Arabia,,966,5,-1
189,Senegal,,221,5,-1
190,Serbia,,381,5,-1
191,Seychelles,,248,5,-1
192,Sierra Leone,,232,5,-1
193,Singapore,Singaporean,65,5,-1
194,Slovakia,,421,5,-1
195,Slovenia,,386,5,-1
196,Solomon Islands,Solomon Islander,677,5,-1
197,Somalia,,252,5,-1
198,South Africa,,27,5,-1
199,South Georgia And The South Sandwich Islands,,-1,5,-1
200,Spain,Spanierd,34,5,-1
201,Sri Lanka,,94,5,-1
202,Suriname,,597,5,-1
203,Svalbard And Jan Mayen,,47,5,-1
204,Swaziland,,268,5,-1
205,Sweden,Swede,46,5,-1
206,Switzerland,Swiss,41,5,-1
207,Taiwan,,886,5,-1
208,Tajikistan,,992,5,-1
209,Tanzania,,255,5,-1
210,Thailand,Thai,66,5,-1
211,Togo,,228,5,-1
212,Tokelau,,690,5,-1
213,Tonga,,676,5,-1
214,Trinidad And Tobago,,1,5,-1
215,Tunisia,,216,5,-1
216,Turkey,Turk,90,5,-1
217,Turkmenistan,,993,5,-1
218,Turks And Caicos Islands,,1,5,-1
219,Tuvalu,,688,5,-1
220,Uganda,,256,5,-1
221,Ukraine,Ukrainian,380,5,-1
222,United Arab Emirates,Arabian,971,5,-1
223,United Kingdom,British,44,5,-1
224,United States,American,1,5,-1
225,Uruguay,,598,5,-1
226,Uzbekistan,,998,5,-1
227,Vanuatu,,678,5,-1
228,Venezuela,,58,5,-1
229,Viet Nam,,84,5,-1
230,Virgin Islands- British,,1,5,-1
231,Virgin Islands- Us,,1,5,-1
232,Wallis And Futuna,,681,5,-1
233,Western Sahara,,212,5,-1
234,Yemen,,967,5,-1
235,Yugoslavia,,0,5,-1
236,Zambia,Zambian,260,5,-1
237,Zimbabwe,,263,5,-1
